# Time (s),Altitude (ft),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.009,0,0
0.019,0.002,0.225
0.029,0.021,1.039
# Event LIFTOFF occurred at t=0.039 seconds
0.039,0.077,2.457
0.044,0.125,3.394
0.051,0.227,4.897
0.063,0.454,7.139
0.073,0.72,9.073
0.078,0.877,10.053
0.086,1.142,11.515
0.094,1.486,13.136
0.104,1.948,15.038
0.109,2.203,16.001
0.117,2.614,17.441
0.125,3.123,19.045
0.135,3.779,20.918
0.147,4.647,23.176
0.157,5.438,25.061
0.167,6.291,26.944
0.177,7.206,28.824
0.187,8.182,30.702
0.194,8.903,32.015
0.204,9.984,33.894
0.214,11.127,35.78
0.224,12.332,37.673
0.234,13.599,39.574
0.244,14.928,41.481
0.254,16.321,43.395
# Event LAUNCHROD occurred at t=0.264 seconds
0.264,17.776,45.317
0.279,20.077,48.208
0.302,23.797,52.574
0.335,29.984,59.191
0.35,32.919,62.109
0.372,37.587,66.53
0.405,45.197,73.284
0.428,50.827,77.988
0.462,59.932,85.131
0.512,74.767,95.76
0.563,91.697,106.757
0.613,110.105,117.684
0.663,130.314,128.729
0.694,143.757,135.636
0.74,165.245,146.068
0.79,190.132,157.37
0.84,216.88,168.759
0.891,245.504,180.236
0.941,276.017,191.799
0.988,306.768,202.866
1.038,341.007,214.584
1.088,377.173,226.353
1.138,415.273,238.171
1.188,455.315,250.032
1.238,497.306,261.929
1.266,521.674,268.604
1.308,559.378,278.642
1.358,606.07,290.635
1.408,654.733,302.671
1.458,705.375,314.773
1.491,739.889,322.797
1.541,793.289,334.827
1.581,838.431,344.627
1.631,895.95,356.627
1.641,907.69,359.009
1.656,925.445,362.575
# Event SIM_WARN occurred at t=1.667 seconds: Body calculations may not be entirely accurate at supersonic speeds.
1.679,952.407,367.913
1.684,959.058,369.217
1.692,969.078,371.165
1.705,984.206,374.065
1.716,998.215,376.708
1.733,1019.414,380.648
1.759,1051.623,386.529
1.784,1084.004,392.317
1.822,1133.472,400.901
1.872,1200.147,411.971
1.922,1268.619,422.796
1.938,1290.881,426.205
1.962,1324.608,431.276
1.998,1375.941,438.794
2.048,1448.767,449.066
2.098,1523.26,459.128
2.138,1584.123,467.042
2.188,1661.538,476.784
2.238,1740.542,486.415
2.288,1821.117,495.935
2.338,1903.245,505.345
2.388,1986.907,514.646
2.438,2072.086,523.833
2.488,2158.762,532.909
2.491,2164.01,533.45
2.496,2171.892,534.26
2.502,2183.737,535.473
2.512,2201.554,537.287
2.528,2228.394,539.996
2.55,2268.905,544.029
2.585,2330.234,550.013
2.6,2358.243,552.698
2.623,2400.512,556.641
2.658,2464.463,562.282
2.708,2557.327,569.803
2.758,2651.37,576.647
2.808,2746.479,582.811
2.858,2842.543,588.293
2.908,2939.451,593.093
2.919,2960.743,594.051
2.935,2992.745,595.457
2.96,3040.889,597.539
2.997,3113.417,600.602
3.022,3162.957,602.645
3.06,3237.574,605.552
3.11,3337.2,609.01
3.138,3393.934,610.766
3.181,3479.324,613.139
3.231,3580.107,615.545
3.281,3681.252,617.536
3.3,3720.722,618.199
3.329,3780,619.034
3.373,3869.04,619.866
3.388,3899.518,620.035
3.41,3945.248,620.208
3.441,4007.364,620.328
3.487,4100.551,620.384
3.537,4202.32,620.383
3.544,4217.005,620.378
3.555,4239.033,620.365
3.571,4272.072,620.328
3.595,4321.627,620.236
3.609,4349.287,620.166
3.629,4390.77,619.998
3.66,4452.965,619.55
3.688,4509.9,618.936
3.73,4595.181,617.805
3.778,4692.29,616.364
3.819,4775.11,615.008
3.853,4843.646,613.775
3.897,4932.119,611.919
3.947,5032.301,609.448
3.981,5100.182,607.591
# Event BURNOUT occurred at t=3.997 seconds
3.997,5132.053,606.678
4.021,5179.768,605.302
4.057,5251.139,603.249
4.107,5349.865,600.418
4.157,5448.128,597.609
4.207,5545.932,594.824
4.257,5643.281,592.061
4.307,5740.179,589.319
4.357,5836.629,586.6
4.407,5932.634,583.902
4.457,6028.199,581.226
4.507,6123.326,578.571
4.557,6218.02,575.937
4.607,6312.283,573.323
4.657,6406.119,570.73
4.707,6499.532,568.158
4.757,6592.524,565.605
4.807,6685.099,563.072
4.857,6777.26,560.558
4.907,6869.01,558.064
4.957,6960.353,555.589
5.007,7051.291,553.132
5.057,7141.828,550.694
5.107,7231.966,548.274
5.157,7321.709,545.872
5.207,7411.059,543.488
5.257,7500.019,541.121
5.307,7588.593,538.772
5.357,7676.783,536.44
5.407,7764.591,534.124
5.457,7852.021,531.826
5.507,7939.076,529.544
5.557,8025.757,527.279
5.607,8112.068,525.03
5.657,8198.012,522.797
5.707,8283.59,520.58
5.757,8368.807,518.379
5.807,8453.663,516.194
5.857,8538.162,514.023
5.907,8622.307,511.868
5.957,8706.099,509.729
6.007,8789.541,507.604
6.057,8872.636,505.494
6.107,8955.387,503.398
6.157,9037.794,501.318
6.207,9119.862,499.251
6.257,9201.591,497.199
6.307,9282.986,495.161
6.357,9364.047,493.137
6.407,9444.777,491.127
6.457,9525.178,489.13
6.507,9605.253,487.147
6.557,9685.004,485.177
6.607,9764.432,483.22
6.657,9843.541,481.277
6.707,9922.332,479.346
6.757,1e4,477.428
6.807,1.008e4,475.523
6.857,1.016e4,473.63
6.907,1.023e4,471.75
6.957,1.031e4,469.882
7.007,1.039e4,468.025
7.057,1.047e4,466.181
7.107,1.054e4,464.348
7.157,1.062e4,462.527
7.207,1.069e4,460.717
7.257,1.077e4,458.919
7.307,1.084e4,457.132
7.357,1.092e4,455.356
7.407,1.099e4,453.591
7.457,1.107e4,451.837
7.507,1.114e4,450.093
7.557,1.122e4,448.361
7.607,1.129e4,446.639
7.657,1.136e4,444.927
7.707,1.143e4,443.226
7.757,1.151e4,441.535
7.807,1.158e4,439.855
7.857,1.165e4,438.185
7.907,1.172e4,436.526
7.957,1.179e4,434.877
8.007,1.187e4,433.238
8.057,1.194e4,431.609
8.107,1.201e4,429.99
8.157,1.208e4,428.38
8.207,1.215e4,426.781
8.257,1.222e4,425.191
8.307,1.229e4,423.61
8.357,1.236e4,422.038
8.407,1.243e4,420.476
8.457,1.249e4,418.923
8.507,1.256e4,417.379
8.557,1.263e4,415.844
8.607,1.27e4,414.317
8.657,1.277e4,412.8
8.707,1.284e4,411.291
8.757,1.29e4,409.791
8.807,1.297e4,408.299
8.857,1.304e4,406.816
8.907,1.31e4,405.341
8.957,1.317e4,403.874
9.007,1.324e4,402.415
9.057,1.33e4,400.965
9.107,1.337e4,399.523
9.157,1.343e4,398.088
9.207,1.35e4,396.661
9.257,1.356e4,395.242
9.307,1.363e4,393.831
9.357,1.369e4,392.427
9.407,1.376e4,391.031
9.457,1.382e4,389.642
9.507,1.388e4,388.26
9.557,1.395e4,386.886
9.607,1.401e4,385.518
9.657,1.407e4,384.158
9.707,1.414e4,382.805
9.757,1.42e4,381.458
9.807,1.426e4,380.119
9.857,1.432e4,378.786
9.907,1.439e4,377.461
9.957,1.445e4,376.141
10.007,1.451e4,374.829
10.057,1.457e4,373.523
10.107,1.463e4,372.224
10.157,1.469e4,370.931
10.207,1.475e4,369.645
10.257,1.481e4,368.365
10.307,1.487e4,367.092
10.357,1.494e4,365.825
10.407,1.499e4,364.565
10.457,1.505e4,363.31
10.507,1.511e4,362.062
10.557,1.517e4,360.82
10.607,1.523e4,359.584
10.657,1.529e4,358.354
10.707,1.535e4,357.13
10.757,1.541e4,355.911
10.807,1.547e4,354.698
10.857,1.552e4,353.491
10.907,1.558e4,352.29
10.957,1.564e4,351.094
11.007,1.57e4,349.904
11.057,1.576e4,348.719
11.107,1.581e4,347.539
11.157,1.587e4,346.365
11.207,1.593e4,345.197
11.257,1.598e4,344.033
11.307,1.604e4,342.875
11.357,1.61e4,341.722
11.407,1.615e4,340.575
11.457,1.621e4,339.432
11.507,1.626e4,338.295
11.557,1.632e4,337.162
11.607,1.637e4,336.035
11.657,1.643e4,334.913
11.707,1.648e4,333.797
11.757,1.654e4,332.685
11.807,1.659e4,331.578
11.857,1.665e4,330.476
11.907,1.67e4,329.379
11.957,1.675e4,328.286
12.007,1.681e4,327.199
12.057,1.686e4,326.116
12.107,1.692e4,325.038
12.157,1.697e4,323.964
12.207,1.702e4,322.895
12.257,1.707e4,321.83
12.307,1.713e4,320.771
12.357,1.718e4,319.716
12.407,1.723e4,318.666
12.457,1.728e4,317.621
12.507,1.734e4,316.581
12.557,1.739e4,315.545
12.607,1.744e4,314.513
12.657,1.749e4,313.487
12.707,1.754e4,312.464
12.757,1.759e4,311.446
12.807,1.764e4,310.433
12.857,1.77e4,309.424
12.907,1.775e4,308.419
12.957,1.78e4,307.419
13.007,1.785e4,306.422
13.057,1.79e4,305.43
13.107,1.795e4,304.442
13.157,1.8e4,303.458
13.207,1.805e4,302.478
13.257,1.81e4,301.502
13.307,1.815e4,300.53
13.357,1.82e4,299.562
13.407,1.824e4,298.598
13.457,1.829e4,297.638
13.507,1.834e4,296.682
13.557,1.839e4,295.729
13.607,1.844e4,294.78
13.657,1.849e4,293.835
13.707,1.854e4,292.893
13.757,1.858e4,291.955
13.807,1.863e4,291.021
13.857,1.868e4,290.09
13.907,1.873e4,289.162
13.957,1.877e4,288.238
14.007,1.882e4,287.317
14.057,1.887e4,286.399
14.107,1.891e4,285.485
14.157,1.896e4,284.573
14.207,1.901e4,283.665
14.257,1.905e4,282.76
14.307,1.91e4,281.858
14.357,1.915e4,280.959
14.407,1.919e4,280.063
14.457,1.924e4,279.17
14.507,1.928e4,278.28
14.557,1.933e4,277.393
14.607,1.938e4,276.508
14.657,1.942e4,275.627
14.707,1.947e4,274.749
14.757,1.951e4,273.873
14.807,1.956e4,273.001
14.857,1.96e4,272.132
14.907,1.965e4,271.267
14.957,1.969e4,270.406
15.007,1.973e4,269.55
15.057,1.978e4,268.697
15.107,1.982e4,267.848
15.157,1.987e4,267.003
15.207,1.991e4,266.162
15.257,1.995e4,265.325
15.307,2e4,264.491
15.357,2.004e4,263.66
15.407,2.008e4,262.833
15.457,2.013e4,262.01
15.507,2.017e4,261.189
15.557,2.021e4,260.372
15.607,2.025e4,259.558
15.657,2.03e4,258.748
15.707,2.034e4,257.94
15.757,2.038e4,257.136
15.807,2.042e4,256.334
15.857,2.047e4,255.536
15.907,2.051e4,254.74
15.957,2.055e4,253.948
16.007,2.059e4,253.158
16.057,2.063e4,252.371
16.107,2.067e4,251.587
16.157,2.071e4,250.805
16.207,2.076e4,250.027
16.257,2.08e4,249.251
16.307,2.084e4,248.477
16.357,2.088e4,247.707
16.407,2.092e4,246.938
16.457,2.096e4,246.173
16.507,2.1e4,245.409
16.557,2.104e4,244.649
16.607,2.108e4,243.89
16.657,2.112e4,243.134
16.707,2.116e4,242.381
16.757,2.12e4,241.63
16.807,2.124e4,240.881
16.857,2.128e4,240.134
16.907,2.132e4,239.39
16.957,2.136e4,238.648
17.007,2.14e4,237.908
17.057,2.144e4,237.171
17.107,2.147e4,236.435
17.157,2.151e4,235.702
17.207,2.155e4,234.971
17.257,2.159e4,234.242
17.307,2.163e4,233.515
17.357,2.167e4,232.791
17.407,2.17e4,232.068
17.457,2.174e4,231.347
17.507,2.178e4,230.628
17.557,2.182e4,229.911
17.607,2.186e4,229.196
17.657,2.189e4,228.483
17.707,2.193e4,227.772
17.757,2.197e4,227.063
17.807,2.201e4,226.356
17.857,2.204e4,225.65
17.907,2.208e4,224.946
17.957,2.212e4,224.244
18.007,2.215e4,223.544
18.057,2.219e4,222.846
18.107,2.223e4,222.149
18.157,2.226e4,221.454
18.207,2.23e4,220.761
18.257,2.233e4,220.07
18.307,2.237e4,219.38
18.357,2.241e4,218.692
18.407,2.244e4,218.006
18.457,2.248e4,217.321
18.507,2.251e4,216.638
18.557,2.255e4,215.956
18.607,2.258e4,215.276
18.657,2.262e4,214.598
18.707,2.266e4,213.921
18.757,2.269e4,213.246
18.807,2.273e4,212.572
18.857,2.276e4,211.9
18.907,2.279e4,211.229
18.957,2.283e4,210.56
19.007,2.286e4,209.892
19.057,2.29e4,209.226
19.107,2.293e4,208.562
19.157,2.297e4,207.898
19.207,2.3e4,207.236
19.257,2.303e4,206.576
19.307,2.307e4,205.917
19.357,2.31e4,205.259
19.407,2.314e4,204.603
19.457,2.317e4,203.948
19.507,2.32e4,203.295
19.557,2.324e4,202.642
19.607,2.327e4,201.992
19.657,2.33e4,201.342
19.707,2.334e4,200.694
19.757,2.337e4,200.047
19.807,2.34e4,199.401
19.857,2.343e4,198.757
19.907,2.347e4,198.114
19.957,2.35e4,197.472
20.007,2.353e4,196.832
20.057,2.356e4,196.192
20.107,2.36e4,195.554
20.157,2.363e4,194.917
20.207,2.366e4,194.281
20.257,2.369e4,193.647
20.307,2.372e4,193.014
20.357,2.375e4,192.381
20.407,2.379e4,191.75
20.457,2.382e4,191.12
20.507,2.385e4,190.492
20.557,2.388e4,189.864
20.607,2.391e4,189.238
20.657,2.394e4,188.612
20.707,2.397e4,187.988
20.757,2.4e4,187.365
20.807,2.403e4,186.743
20.857,2.406e4,186.122
20.907,2.41e4,185.502
20.957,2.413e4,184.883
21.007,2.416e4,184.265
21.057,2.419e4,183.648
21.107,2.422e4,183.033
21.157,2.425e4,182.418
21.207,2.428e4,181.804
21.257,2.431e4,181.192
21.307,2.434e4,180.58
21.357,2.437e4,179.97
21.407,2.439e4,179.36
21.457,2.442e4,178.751
21.507,2.445e4,178.144
21.557,2.448e4,177.537
21.607,2.451e4,176.931
21.657,2.454e4,176.326
21.707,2.457e4,175.722
21.757,2.46e4,175.12
21.807,2.463e4,174.518
21.857,2.466e4,173.917
21.907,2.468e4,173.316
21.957,2.471e4,172.717
22.007,2.474e4,172.119
22.057,2.477e4,171.521
22.107,2.48e4,170.925
22.157,2.482e4,170.329
22.207,2.485e4,169.735
22.257,2.488e4,169.141
22.307,2.491e4,168.548
22.357,2.494e4,167.955
22.407,2.496e4,167.364
22.457,2.499e4,166.774
22.507,2.502e4,166.184
22.557,2.505e4,165.595
22.607,2.507e4,165.007
22.657,2.51e4,164.42
22.707,2.513e4,163.834
22.757,2.515e4,163.248
22.807,2.518e4,162.663
22.857,2.521e4,162.079
22.907,2.523e4,161.496
22.957,2.526e4,160.914
23.007,2.529e4,160.332
23.057,2.531e4,159.751
23.107,2.534e4,159.171
23.157,2.536e4,158.592
23.207,2.539e4,158.013
23.257,2.542e4,157.435
23.307,2.544e4,156.858
23.357,2.547e4,156.282
23.407,2.549e4,155.706
23.457,2.552e4,155.131
23.507,2.554e4,154.557
23.557,2.557e4,153.984
23.607,2.559e4,153.411
23.657,2.562e4,152.839
23.707,2.564e4,152.268
23.757,2.567e4,151.697
23.807,2.569e4,151.127
23.857,2.572e4,150.558
23.907,2.574e4,149.989
23.957,2.577e4,149.421
24.007,2.579e4,148.854
24.057,2.582e4,148.287
24.107,2.584e4,147.721
24.157,2.587e4,147.156
24.207,2.589e4,146.591
24.257,2.591e4,146.027
24.307,2.594e4,145.464
24.357,2.596e4,144.901
24.407,2.599e4,144.339
24.457,2.601e4,143.778
24.507,2.603e4,143.217
24.557,2.606e4,142.657
24.607,2.608e4,142.097
24.657,2.61e4,141.538
24.707,2.613e4,140.98
24.757,2.615e4,140.422
24.807,2.617e4,139.865
24.857,2.619e4,139.308
24.907,2.622e4,138.752
24.957,2.624e4,138.197
25.007,2.626e4,137.642
25.057,2.629e4,137.088
25.107,2.631e4,136.534
25.157,2.633e4,135.981
25.207,2.635e4,135.428
25.257,2.637e4,134.876
25.307,2.64e4,134.325
25.357,2.642e4,133.774
25.407,2.644e4,133.224
25.457,2.646e4,132.674
25.507,2.648e4,132.125
25.557,2.651e4,131.576
25.607,2.653e4,131.028
25.657,2.655e4,130.48
25.707,2.657e4,129.933
25.757,2.659e4,129.386
25.807,2.661e4,128.84
25.857,2.663e4,128.295
25.907,2.665e4,127.75
25.957,2.668e4,127.205
26.007,2.67e4,126.661
26.057,2.672e4,126.118
26.107,2.674e4,125.575
26.157,2.676e4,125.032
26.207,2.678e4,124.49
26.257,2.68e4,123.948
26.307,2.682e4,123.407
26.357,2.684e4,122.867
26.407,2.686e4,122.326
26.457,2.688e4,121.787
26.507,2.69e4,121.248
26.557,2.692e4,120.709
26.607,2.694e4,120.17
26.657,2.696e4,119.633
26.707,2.698e4,119.095
26.757,2.7e4,118.558
26.807,2.702e4,118.022
26.857,2.704e4,117.486
26.907,2.706e4,116.95
26.957,2.708e4,116.415
27.007,2.709e4,115.88
27.057,2.711e4,115.346
27.107,2.713e4,114.812
27.157,2.715e4,114.279
27.207,2.717e4,113.746
27.257,2.719e4,113.213
27.307,2.721e4,112.681
27.357,2.722e4,112.149
27.407,2.724e4,111.618
27.457,2.726e4,111.087
27.507,2.728e4,110.557
27.557,2.73e4,110.026
27.607,2.732e4,109.497
27.657,2.733e4,108.967
27.707,2.735e4,108.438
27.757,2.737e4,107.91
27.807,2.739e4,107.382
27.857,2.74e4,106.854
27.907,2.742e4,106.327
27.957,2.744e4,105.8
28.007,2.746e4,105.273
28.057,2.747e4,104.747
28.107,2.749e4,104.221
28.157,2.751e4,103.695
28.207,2.753e4,103.17
28.257,2.754e4,102.646
28.307,2.756e4,102.121
28.357,2.758e4,101.597
28.407,2.759e4,101.073
28.457,2.761e4,100.55
28.507,2.763e4,100.027
28.557,2.764e4,99.504
28.607,2.766e4,98.982
28.657,2.767e4,98.46
28.707,2.769e4,97.939
28.757,2.771e4,97.417
28.807,2.772e4,96.897
28.857,2.774e4,96.376
28.907,2.775e4,95.856
28.957,2.777e4,95.336
29.007,2.778e4,94.816
29.057,2.78e4,94.297
29.107,2.782e4,93.778
29.157,2.783e4,93.259
29.207,2.785e4,92.741
29.257,2.786e4,92.223
29.307,2.788e4,91.706
29.357,2.789e4,91.188
29.407,2.791e4,90.671
29.457,2.792e4,90.154
29.507,2.794e4,89.638
29.557,2.795e4,89.122
29.607,2.797e4,88.606
29.657,2.798e4,88.091
29.707,2.799e4,87.575
29.757,2.801e4,87.06
29.807,2.802e4,86.546
29.857,2.804e4,86.031
29.907,2.805e4,85.517
29.957,2.807e4,85.003
30.007,2.808e4,84.49
30.057,2.809e4,83.977
30.107,2.811e4,83.464
30.157,2.812e4,82.951
30.207,2.813e4,82.439
30.257,2.815e4,81.927
30.307,2.816e4,81.415
30.357,2.817e4,80.903
30.407,2.819e4,80.392
30.457,2.82e4,79.881
30.507,2.821e4,79.37
30.557,2.823e4,78.859
30.607,2.824e4,78.349
30.657,2.825e4,77.839
30.707,2.826e4,77.329
30.757,2.828e4,76.819
30.807,2.829e4,76.31
30.857,2.83e4,75.801
30.907,2.831e4,75.292
30.957,2.833e4,74.783
31.007,2.834e4,74.275
31.057,2.835e4,73.767
31.107,2.836e4,73.259
31.157,2.838e4,72.751
31.207,2.839e4,72.243
31.257,2.84e4,71.736
31.307,2.841e4,71.229
31.357,2.842e4,70.722
31.407,2.843e4,70.216
31.457,2.845e4,69.709
31.507,2.846e4,69.203
31.557,2.847e4,68.697
31.607,2.848e4,68.191
31.657,2.849e4,67.686
31.707,2.85e4,67.181
31.757,2.851e4,66.676
31.807,2.852e4,66.171
31.857,2.853e4,65.666
31.907,2.855e4,65.162
31.957,2.856e4,64.657
32.007,2.857e4,64.153
32.057,2.858e4,63.649
32.107,2.859e4,63.146
32.157,2.86e4,62.642
32.207,2.861e4,62.139
32.257,2.862e4,61.636
32.307,2.863e4,61.133
32.357,2.864e4,60.631
32.407,2.865e4,60.128
32.457,2.866e4,59.626
32.507,2.867e4,59.124
32.557,2.868e4,58.622
32.607,2.869e4,58.12
32.657,2.87e4,57.619
32.707,2.871e4,57.117
32.757,2.872e4,56.616
32.807,2.872e4,56.115
32.857,2.873e4,55.614
32.907,2.874e4,55.114
32.957,2.875e4,54.613
33.007,2.876e4,54.113
33.057,2.877e4,53.613
33.107,2.878e4,53.113
33.157,2.879e4,52.613
33.207,2.88e4,52.114
33.257,2.88e4,51.615
33.307,2.881e4,51.115
33.357,2.882e4,50.616
33.407,2.883e4,50.117
33.457,2.884e4,49.619
33.507,2.885e4,49.12
33.557,2.885e4,48.622
33.607,2.886e4,48.124
33.657,2.887e4,47.625
33.707,2.888e4,47.128
33.757,2.888e4,46.63
33.807,2.889e4,46.132
33.857,2.89e4,45.635
33.907,2.891e4,45.138
33.957,2.891e4,44.64
34.007,2.892e4,44.144
34.057,2.893e4,43.647
34.107,2.894e4,43.15
34.157,2.894e4,42.654
34.207,2.895e4,42.157
34.257,2.896e4,41.661
34.307,2.896e4,41.165
34.357,2.897e4,40.669
34.407,2.898e4,40.173
34.457,2.898e4,39.678
34.507,2.899e4,39.182
34.557,2.9e4,38.687
34.607,2.9e4,38.191
34.657,2.901e4,37.696
34.707,2.902e4,37.201
34.757,2.902e4,36.707
34.807,2.903e4,36.212
34.857,2.903e4,35.717
34.907,2.904e4,35.223
34.957,2.904e4,34.729
35.007,2.905e4,34.234
35.057,2.906e4,33.74
35.107,2.906e4,33.246
35.157,2.907e4,32.753
35.207,2.907e4,32.259
35.257,2.908e4,31.765
35.307,2.908e4,31.272
35.357,2.909e4,30.779
35.407,2.909e4,30.286
35.457,2.91e4,29.793
35.507,2.91e4,29.3
35.557,2.911e4,28.807
35.607,2.911e4,28.314
35.657,2.912e4,27.821
35.707,2.912e4,27.329
35.757,2.913e4,26.837
35.807,2.913e4,26.344
35.857,2.913e4,25.852
35.907,2.914e4,25.36
35.957,2.914e4,24.868
36.007,2.915e4,24.376
36.057,2.915e4,23.885
36.107,2.915e4,23.393
36.157,2.916e4,22.901
36.207,2.916e4,22.41
36.257,2.917e4,21.919
36.307,2.917e4,21.427
36.357,2.917e4,20.936
36.407,2.918e4,20.445
36.457,2.918e4,19.954
36.507,2.918e4,19.463
36.557,2.919e4,18.973
36.607,2.919e4,18.482
36.657,2.919e4,17.991
36.707,2.919e4,17.501
36.757,2.92e4,17.01
36.807,2.92e4,16.52
36.857,2.92e4,16.03
36.907,2.921e4,15.54
36.957,2.921e4,15.049
37.007,2.921e4,14.559
37.057,2.921e4,14.07
37.107,2.921e4,13.58
37.157,2.922e4,13.09
37.207,2.922e4,12.6
37.257,2.922e4,12.111
37.307,2.922e4,11.621
37.357,2.923e4,11.131
37.407,2.923e4,10.642
37.457,2.923e4,10.153
37.507,2.923e4,9.663
37.557,2.923e4,9.174
37.607,2.923e4,8.685
37.657,2.923e4,8.196
37.707,2.924e4,7.707
37.757,2.924e4,7.218
37.807,2.924e4,6.729
37.857,2.924e4,6.24
37.907,2.924e4,5.751
37.957,2.924e4,5.263
38.007,2.924e4,4.774
38.057,2.924e4,4.285
38.107,2.924e4,3.797
38.157,2.924e4,3.308
38.207,2.924e4,2.82
38.257,2.924e4,2.331
38.307,2.925e4,1.843
38.357,2.925e4,1.355
38.407,2.925e4,0.866
38.457,2.925e4,0.378
# Event APOGEE occurred at t=38.507 seconds
38.507,2.925e4,-0.11
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=38.508 seconds
# Event SIM_WARN occurred at t=38.557 seconds: Recovery device deployment at high speed (55.3 m/s):  "Drogue Parachute"
38.557,2.925e4,-0.598
38.59,2.925e4,-0.906
38.623,2.925e4,-1.219
38.658,2.925e4,-1.538
38.694,2.925e4,-1.862
38.731,2.924e4,-2.191
38.77,2.924e4,-2.527
38.81,2.924e4,-2.869
38.851,2.924e4,-3.218
38.894,2.924e4,-3.573
38.938,2.924e4,-3.936
38.984,2.924e4,-4.306
39.032,2.924e4,-4.684
39.082,2.924e4,-5.07
39.133,2.924e4,-5.465
39.187,2.924e4,-5.868
39.242,2.924e4,-6.28
39.3,2.924e4,-6.701
39.359,2.924e4,-7.133
39.422,2.923e4,-7.574
39.486,2.923e4,-8.025
39.553,2.923e4,-8.487
39.623,2.923e4,-8.96
39.696,2.923e4,-9.444
39.771,2.922e4,-9.939
39.849,2.922e4,-10.445
39.93,2.922e4,-10.962
40.015,2.922e4,-11.491
40.102,2.921e4,-12.031
40.193,2.921e4,-12.583
40.287,2.92e4,-13.145
40.385,2.92e4,-13.718
40.486,2.92e4,-14.301
40.592,2.919e4,-14.894
40.701,2.918e4,-15.496
40.813,2.918e4,-16.107
40.93,2.917e4,-16.726
41.052,2.917e4,-17.353
41.177,2.916e4,-17.985
41.308,2.915e4,-18.623
41.443,2.914e4,-19.266
41.583,2.913e4,-19.912
41.729,2.912e4,-20.56
41.881,2.911e4,-21.21
42.039,2.91e4,-21.86
42.204,2.909e4,-22.509
42.377,2.908e4,-23.155
42.559,2.906e4,-23.798
42.749,2.905e4,-24.435
42.951,2.903e4,-25.066
43.165,2.901e4,-25.688
43.392,2.899e4,-26.3
43.636,2.897e4,-26.899
